id,release,source,start,end,closed,first_paid,feed,feed_before,feed_after,rows,sold,units_paid_orders,products,outside_before,outside_after,pending,hero,count,channels,channels_direct_spread,trail,waterfall,paid_units,paid_channel,framing,close,close_pct_units,hero_projected,no_event,no_event_high,disagreement
alex_katz_ada_ada_2025_q4,Alex Katz · Ada Ada · 2025 Q4,orders,2025-09-17,2025-11-01,True,2025-09-24,192.0,0,6.0,192.0,192.0,192.0,192.0,0.0,6.0,0.0,192.0,192.0,192.0,191.9,191.99,,47.5,47.5,192.0,,,,0.0,False,
alfie_caine_multiple_2022_q3,Alfie Caine · Multiple · 2022 Q3,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
alpha_centauri_kid_warothy_2023_q4,Alpha Centauri Kid · Warothy · 2023 Q4,orders,2023-10-20,2023-11-24,True,2023-11-03,24.0,0,1.0,24.0,24.0,24.0,24.0,0.0,1.0,0.0,24.0,24.0,24.0,24.0,24.0,,0.0,0.0,,,,,0.0,False,
amanda_baldwin_bell_bay_2023_q3,Amanda Baldwin · Bell Bay · 2023 Q3,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
amani_lewis_two_queens_ode_to_romare_bearden_2021_q3,Amani Lewis · TWO QUEENS: Ode to Romare Bearden · 2021 Q3,orders,2026-06-26,2026-09-24,False,,1.0,4.0,0,,1.0,1.0,,4.0,0.0,0.0,1.0,1.0,1.0,,1.0,,0.0,0.0,1.0,,,,0.0,False,
amir_h_fallah_multiple_2022_q2,Amir H. Fallah · Multiple · 2022 Q2,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
angel_otero_broken_record_2022_q2,Angel Otero · Broken Record · 2022 Q2,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
anna_ridler_price_per_stem_2025_q1,Anna Ridler · Price Per Stem · 2025 Q1,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
anna_weyant_loose_screw_2022_q2,Anna Weyant · Loose Screw · 2022 Q2,orders,2026-06-26,2026-09-24,False,,0,2.0,0,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
anni_and_josef_albers_multiple_2026_q2,Anni and Josef Albers · Multiple · 2026 Q2,orders,2026-04-16,2026-05-30,True,2026-04-29,958.0,0,35.0,958.0,958.0,958.0,958.0,0.0,35.0,0.0,958.0,958.0,958.1,957.9,958.0,,333.8,333.8,958.0,,,,0.0,False,
antony_micallef_portrait_of_francis_bacon_2024_q3,Antony Micallef · Portrait of Francis Bacon · 2024 Q3,orders,2024-07-23,2024-08-29,True,2024-08-01,49.0,0,3.0,49.0,49.0,49.0,49.0,0.0,3.0,0.0,49.0,49.0,48.9,49.0,49.0,,0.0,0.0,49.0,,,,0.0,False,
antony_micallef_self_portrait_with_blue_slash_2026_q2,Antony Micallef · Self Portrait with Blue Slash · 2026 Q2,orders,2026-04-17,2026-05-31,True,2026-04-28,63.0,0,2.0,63.0,63.0,63.0,63.0,0.0,2.0,0.0,63.0,63.0,63.0,63.0,63.0,,3.0,3.0,63.0,,,,0.0,False,
antony_micallef_self_portrait_with_yellow_lake_and_magenta_2025_q3,Antony Micallef · Self Portrait with Yellow Lake and Magenta · 2025 Q3,orders,2025-05-31,2025-07-31,True,2025-05-31,59.0,0,2.0,59.0,59.0,59.0,59.0,0.0,2.0,0.0,59.0,59.0,59.0,59.0,59.0,,0.0,0.0,59.0,,,,0.0,False,
antony_micallef_the_union_of_animals_2022_q4,Antony Micallef · The Union of Animals · 2022 Q4,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
arghavan_khosravi_multiple_2022_q1,Arghavan Khosravi · Multiple · 2022 Q1,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
arghavan_khosravi_the_earring_2023_q4,Arghavan Khosravi · The Earring · 2023 Q4,orders,2023-09-14,2023-10-25,True,2023-09-27,20.0,0,2.0,20.0,20.0,20.0,20.0,0.0,2.0,0.0,20.0,20.0,20.0,19.9,20.0,,0.0,0.0,,,,,0.0,False,
artspace_amphora_project_multiple_2025_q1,Artspace Amphora Project · Multiple · 2025 Q1,orders,2024-11-26,2025-01-30,True,2024-12-07,2.0,0,1.0,,2.0,2.0,,0.0,1.0,0.0,2.0,2.0,2.0,,2.0,,0.0,0.0,,,,,0.0,False,
asuka_anastacia_ogawa_sleepy_2024_q2,Asuka Anastacia Ogawa · Sleepy · 2024 Q2,orders,2026-06-26,2026-09-24,False,,0,52.0,0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,28.0,28.4,28.5,28.4,28.4,,3.0,3.0,,,,,0.0,False,
