campaign_code,Date,Profile name,Profile followers,Platform,Content type,Media type,Labels,Total impressions,Total reach,Engagements,Total likes,Total comments,Total shares,Saves,Media views,Exits,Taps forward,Taps back,Completion rate,Video view count,Content ID
YoonHyup_LE_26,2026-07-14 17:00:22,Avant Arte,2912539,instagram,story,photo,Edition;YoonHyup_LE_26,8395,7614,1,,1,2,,8395,744,5291,65,0.273377,,18030993524824387
YoonHyup_LE_26,2026-07-08 17:01:03,Avant Insiders,72755,instagram,story,photo,Edition;YoonHyup_LE_26,402,355,0,,0,0,,402,60,274,7,0.1517413,,18056296757527101
YoonHyup_LE_26,2026-07-08 17:00:48,Avant Insiders,72755,instagram,story,photo,Edition;YoonHyup_LE_26,457,412,0,,0,0,,457,35,296,6,0.26258206,,18097473104186292
YoonHyup_LE_26,2026-07-08 16:59:34,Avant Arte,2911666,instagram,story,photo,Edition;YoonHyup_LE_26,6858,6299,0,,0,1,,6858,735,5067,79,0.14246136,,18155567977470506
YoonHyup_LE_26,2026-07-08 16:59:17,Avant Arte,2911666,instagram,story,photo,Edition;YoonHyup_LE_26,8542,7572,0,,0,0,,8542,756,5439,46,0.26937485,,17948370039199059
JaumePlen_LE_26,2026-07-07 15:01:56,Avant Arte,2911790,instagram,story,photo,Edition;JaumePlen_LE_26,13094,11684,0,,0,0,,13094,1579,8304,115,0.23644418,,18113168923875440
JaumePlen_LE_26,2026-07-07 15:00:56,Avant Arte,2911790,instagram,collaboration,carousel,Edition;JaumePlen_LE_26,127009,50158,1231,1128,11,21,66,127009,,,,,,18099341156189005
JaumePlen_LE_26,2026-07-07 14:00:02,Avant Arte,13502,twitter,post,photo,Edition;JaumePlen_LE_26,730,,30,6,0,0,,,,,,,,2074493646871601579
JaumePlen_LE_26,2026-07-07 15:00:01,Avant Insiders,72758,instagram,post,carousel,Edition;JaumePlen_LE_26,3217,1223,27,24,0,1,3,3217,,,,,,18108796331106072
LY_LE_26,2026-07-06 10:01:10,Avant Insiders,72755,instagram,story,photo,Edition;LY_LE_26,672,583,0,,0,0,,672,105,384,6,0.26339287,,18239965003313895
LY_LE_26,2026-07-06 10:00:19,Avant Arte,2911801,instagram,story,photo,Edition;LY_LE_26,14274,12664,0,,0,1,,14274,1717,8434,97,0.2820513,,18068917310434462
AhmedM_Salam_26,2026-07-03 14:04:09,Avant Insiders,72760,instagram,story,photo,AhmedM_Salam_26;Edition,333,291,0,,0,0,,333,21,254,16,0.12612613,,17950727652194543
AhmedM_Salam_26,2026-07-03 14:04:00,Avant Insiders,72760,instagram,story,photo,AhmedM_Salam_26;Edition,355,312,0,,0,0,,355,18,278,18,0.115492955,,17922004398391577
AhmedM_Salam_26,2026-07-03 14:03:42,Avant Insiders,72760,instagram,story,photo,AhmedM_Salam_26;Edition,412,359,0,,0,0,,412,33,264,6,0.2645631,,18097337981588734
AhmedM_Salam_26,2026-07-03 14:02:16,Avant Arte,2911422,instagram,story,photo,AhmedM_Salam_26;Edition,5086,4669,0,,0,2,,5086,249,3914,100,0.16181675,,18107585665810826
AhmedM_Salam_26,2026-07-03 14:01:55,Avant Arte,2911422,instagram,story,photo,AhmedM_Salam_26;Edition,4945,4522,0,,0,0,,4945,182,4067,112,0.11809909,,18118595305698762
