campaign_name,spend_date,impressions,reach,link_clicks,spend
Backside_LE_26 · Enter draw,2026-08-08,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-08,127553,117307,1781,1209.78
JaumePlen_LE_26 · Enter draw,2026-08-08,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-08,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-08-08,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-08,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-08,23161,19117,448,285.03
ZengFanzhi_TL_26 · Enter draw,2026-08-08,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-07,6804,5986,104,92.98
AhmedM_Salam_26 · Enter draw,2026-08-07,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-07,108293,101004,1461,833.18
JaumePlen_LE_26 · Enter draw,2026-08-07,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-07,54549,50903,1230,276.23
PietMondrian_LE_26 · Enter draw,2026-08-07,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-07,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-07,63831,54666,696,587.73
ZengFanzhi_TL_26 · Enter draw,2026-08-07,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-06,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-08-06,0,0,0,0
Backside_LE_26 · Enter draw,2026-08-06,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-06,83076,76735,1122,664.95
JaumePlen_LE_26 · Enter draw,2026-08-06,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-06,117222,109012,2869,647.66
PietMondrian_LE_26 · Enter draw,2026-08-06,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-06,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-06,112706,98895,1120,843.27
ZengFanzhi_TL_26 · Enter draw,2026-08-06,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-05,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-08-05,0,0,0,0
Backside_LE_26 · Enter draw,2026-08-05,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-05,82633,75477,1288,604.52
JaumePlen_LE_26 · Enter draw,2026-08-05,210708,190835,1891,1918.18
Parra_LE_26 · Enter draw,2026-08-05,110762,98554,3187,611.76
PietMondrian_LE_26 · Enter draw,2026-08-05,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-05,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-05,84233,75367,942,718.57
ZengFanzhi_TL_26 · Enter draw,2026-08-05,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-04,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-08-04,0,0,0,0
Backside_LE_26 · Enter draw,2026-08-04,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-04,68155,61698,1152,462.51
JaumePlen_LE_26 · Enter draw,2026-08-04,597444,539050,4994,4661.71
Parra_LE_26 · Enter draw,2026-08-04,82869,72288,2570,446.18
PietMondrian_LE_26 · Enter draw,2026-08-04,44863,43230,717,268.61
YoonHyup_LE_26 · Enter draw,2026-08-04,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-04,68552,59603,932,523.98
ZengFanzhi_TL_26 · Enter draw,2026-08-04,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-03,26741,23687,319,180.99
AhmedM_Salam_26 · Enter draw,2026-08-03,0,0,0,0
Backside_LE_26 · Enter draw,2026-08-03,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-03,62598,53728,1263,402.5
JaumePlen_LE_26 · Enter draw,2026-08-03,456738,401672,4245,3775.93
LY_LE_26 · Enter draw,2026-08-03,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-03,56470,44883,2102,382.48
PietMondrian_LE_26 · Enter draw,2026-08-03,106918,98970,1458,545.34
YoonHyup_LE_26 · Enter draw,2026-08-03,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-03,11371,9869,155,132.49
ZengFanzhi_TL_26 · Enter draw,2026-08-03,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-02,59,57,0,0.42
AhmedM_Salam_26 · Enter draw,2026-08-02,0,0,0,0
Backside_LE_26 · Enter draw,2026-08-02,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-02,33582,29198,765,238.35
